Facility_ID,Service_Level_1,Service_Level_2
402,Rehabilitation Care & Services ,Audiology
402,Rehabilitation Care & Services ,Compensated Work Therapy
402,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
402,Rehabilitation Care & Services ,Poly-trauma/Traumatic Brain Injury (TBI)
402,Rehabilitation Care & Services  ,Prosthetic Services & Sensory Aids
402,Rehabilitation Care & Services ,Speech Pathology
402,Rehabilitation Care & Services ,Spinal Cord Injury
402,Rehabilitation Care & Services  ,
402,Wellness & Preventative Care,Eating Right: Diet & Nutrition
402,Wellness & Preventative Care,Weight Management Services/MOVE! 
402,Wellness & Preventative Care,
402GA,Mental Health Care ,Outpatient Mental Health Care
402GA,Mental Health Care ,Outpatient Specialized Mental Health Care 
402GA,Mental Health Care ,
402GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402GA,Outpatient Medical Specialty Care,
402GA,Primary Care ,
402GA,Wellness & Preventative Care,Weight Management Services/MOVE! 
402GA,Wellness & Preventative Care,
402GB,Mental Health Care ,Outpatient Mental Health Care
402GB,Mental Health Care ,
402GB,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402GB,Outpatient Medical Specialty Care,Infectious Disease
402GB,Outpatient Medical Specialty Care,
402GB,Outpatient Surgical Specialty Care ,Pain Management Clinic 
402GB,Outpatient Surgical Specialty Care ,
402GB,Primary Care ,
402GB,Wellness & Preventative Care,Weight Management Services/MOVE! 
402GB,Wellness & Preventative Care,
402GC,Mental Health Care ,Outpatient Mental Health Care
402GC,Mental Health Care ,
402GC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402GC,Outpatient Medical Specialty Care,
402GC,Primary Care ,
402GC,Wellness & Preventative Care,Weight Management Services/MOVE! 
402GC,Wellness & Preventative Care,
402GD,Mental Health Care ,Outpatient Mental Health Care
402GD,Mental Health Care ,
402GD,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402GD,Outpatient Medical Specialty Care,Internal Medicine
402GD,Outpatient Medical Specialty Care,
402GD,Primary Care ,
402GD,Wellness & Preventative Care,Eating Right: Diet & Nutrition
402GD,Wellness & Preventative Care,Weight Management Services/MOVE! 
402GD,Wellness & Preventative Care,
402GE,Audiology,
402GE,Diagnostic Services,Imaging & Radiology
402GE,Diagnostic Services,
402GE,Eye (Vision) Care,Optometry
402GE,Eye (Vision) Care,
402GE,Mental Health Care ,Outpatient Mental Health Care
402GE,Mental Health Care ,Outpatient Specialized Mental Health Care 
402GE,Mental Health Care ,
402GE,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402GE,Outpatient Medical Specialty Care,
402GE,Primary Care ,
402GE,Rehabilitation Care & Services ,Audiology
402GE,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
402GE,Rehabilitation Care & Services ,
402GE,Wellness & Preventative Care,Weight Management Services/MOVE! 
402GE,Wellness & Preventative Care,
402GF,Mental Health Care ,Outpatient Mental Health Care
402GF,Mental Health Care ,
402GF,Primary Care ,
402HB,Audiology,
402HB,Dental Services ,
402HB,Diagnostic Services,Imaging & Radiology
402HB,Diagnostic Services,
402HB,Eye (Vision) Care,Optometry
402HB,Eye (Vision) Care,
402HB,Mental Health Care ,Outpatient Mental Health Care
402HB,Mental Health Care ,Outpatient Specialized Mental Health Care 
402HB,Mental Health Care ,
402HB,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
402HB,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402HB,Outpatient Medical Specialty Care,Diabetes
402HB,Outpatient Medical Specialty Care,Infectious Disease
402HB,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
402HB,Outpatient Medical Specialty Care,
402HB,Outpatient Surgical Specialty Care ,Pain Management Clinic 
402HB,Outpatient Surgical Specialty Care ,
402HB,Primary Care ,
402HB,Rehabilitation Care & Services ,Audiology
402HB,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
402HB,Rehabilitation Care & Services ,
402HB,Wellness & Preventative Care,Eating Right: Diet & Nutrition
402HB,Wellness & Preventative Care,Weight Management Services/MOVE! 
402HB,Wellness & Preventative Care,
402HC,Mental Health Care ,Outpatient Mental Health Care
402HC,Mental Health Care ,Outpatient Specialized Mental Health Care 
402HC,Mental Health Care ,
402HC,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
402HC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402HC,Outpatient Medical Specialty Care,Endocrinology
402HC,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
402HC,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
402HC,Outpatient Medical Specialty Care,Rheumatology/Arthritis
402HC,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
402HC,Outpatient Medical Specialty Care,
402HC,Primary Care ,
402HC,Wellness & Preventative Care,Weight Management Services/MOVE! 
402HC,Wellness & Preventative Care,
405,Audiology,
405,Complementary & Alternative Medicine,Chiropractic  Services
405,Complementary & Alternative Medicine,
405,Dental Services ,
405,Diagnostic Services,Imaging & Radiology
405,Diagnostic Services,Lab Services
405,Diagnostic Services,Nuclear Medicine 
405,Diagnostic Services,
405,Eye (Vision) Care,Ophthalmology
405,Eye (Vision) Care,Optometry
405,Eye (Vision) Care,
405,Mental Health Care ,Outpatient Mental Health Care
405,Mental Health Care ,Outpatient Specialized Mental Health Care 
405,Mental Health Care ,Vocational Assistance (Vocational Counselling &/or
405,Mental Health Care ,
405,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
405,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
405,Outpatient Medical Specialty Care,Diabetes
405,Outpatient Medical Specialty Care,Dialysis & Dialysis Support Services 
405,Outpatient Medical Specialty Care,Endocrinology
405,Outpatient Medical Specialty Care,Gastroenterology
405,Outpatient Medical Specialty Care,Hematology (Blood) Services 
405,Outpatient Medical Specialty Care,Infectious Disease
405,Outpatient Medical Specialty Care,Internal Medicine
405,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
405,Outpatient Medical Specialty Care,Neurology
405,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
405,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
405,Outpatient Medical Specialty Care,Rheumatology/Arthritis
405,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
405,Outpatient Medical Specialty Care,
405,Outpatient Surgical Specialty Care , Podiatry
405,Outpatient Surgical Specialty Care ,ENT (Ears/Nose/Throat)
405,Outpatient Surgical Specialty Care ,General Surgery
405,Outpatient Surgical Specialty Care ,Gynecology
405,Outpatient Surgical Specialty Care ,Ophthalmology
405,Outpatient Surgical Specialty Care ,Orthopedics
405,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405,Outpatient Surgical Specialty Care ,Plastic Surgery
405,Outpatient Surgical Specialty Care ,Thoracic Surgery
405,Outpatient Surgical Specialty Care ,Urology
405,Outpatient Surgical Specialty Care ,Vascular Surgery
405,Outpatient Surgical Specialty Care ,
405,Primary Care ,
405,Rehabilitation Care & Services ,Amputation System of Care Services
405,Rehabilitation Care & Services ,Audiology
405,Rehabilitation Care & Services ,Compensated Work Therapy
405,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405,Rehabilitation Care & Services ,Poly-trauma/Traumatic Brain Injury (TBI)
405,Rehabilitation Care & Services ,Speech Pathology
405,Rehabilitation Care & Services ,Spinal Cord Injury
405,Rehabilitation Care & Services ,
405,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405,Wellness & Preventative Care,Weight Management Services/MOVE! 
405,Wellness & Preventative Care,
405GA,Mental Health Care ,Outpatient Mental Health Care
405GA,Mental Health Care ,Outpatient Specialized Mental Health Care 
405GA,Mental Health Care ,
405GA,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
405GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
405GA,Outpatient Medical Specialty Care,Diabetes
405GA,Outpatient Medical Specialty Care,Neurology
405GA,Outpatient Medical Specialty Care,
405GA,Outpatient Surgical Specialty Care , Podiatry
405GA,Outpatient Surgical Specialty Care ,ENT (Ears/Nose/Throat)
405GA,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405GA,Outpatient Surgical Specialty Care ,
405GA,Primary Care ,
405GA,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405GA,Rehabilitation Care & Services ,
405GA,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405GA,Wellness & Preventative Care,Weight Management Services/MOVE! 
405GA,Wellness & Preventative Care,
405GC,Audiology,
405GC,Mental Health Care ,Outpatient Mental Health Care
405GC,Mental Health Care ,Outpatient Specialized Mental Health Care 
405GC,Mental Health Care ,
405GC,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
405GC,Outpatient Medical Specialty Care,Diabetes
405GC,Outpatient Medical Specialty Care,Neurology
405GC,Outpatient Medical Specialty Care,
405GC,Outpatient Surgical Specialty Care , Podiatry
405GC,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405GC,Outpatient Surgical Specialty Care ,Urology
405GC,Outpatient Surgical Specialty Care ,
405GC,Primary Care ,
405GC,Rehabilitation Care & Services ,Audiology
405GC,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405GC,Rehabilitation Care & Services ,Speech Pathology
405GC,Rehabilitation Care & Services ,
405GC,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405GC,Wellness & Preventative Care,Weight Management Services/MOVE! 
405GC,Wellness & Preventative Care,
405HA,Audiology,
405HA,Eye (Vision) Care,Optometry
405HA,Eye (Vision) Care,
405HA,Mental Health Care ,Outpatient Mental Health Care
405HA,Mental Health Care ,Outpatient Specialized Mental Health Care 
405HA,Mental Health Care ,
405HA,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
405HA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
405HA,Outpatient Medical Specialty Care,Diabetes
405HA,Outpatient Medical Specialty Care,Internal Medicine
405HA,Outpatient Medical Specialty Care,Neurology
405HA,Outpatient Medical Specialty Care,
405HA,Outpatient Surgical Specialty Care , Podiatry
405HA,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405HA,Outpatient Surgical Specialty Care ,Urology
405HA,Outpatient Surgical Specialty Care ,
405HA,Primary Care ,
405HA,Rehabilitation Care & Services ,Audiology
405HA,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405HA,Rehabilitation Care & Services ,Speech Pathology
405HA,Rehabilitation Care & Services ,
405HA,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405HA,Wellness & Preventative Care,Weight Management Services/MOVE! 
405HA,Wellness & Preventative Care,
405HC,Audiology,
405HC,Mental Health Care ,Outpatient Mental Health Care
405HC,Mental Health Care ,Outpatient Specialized Mental Health Care 
405HC,Mental Health Care ,
405HC,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
405HC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
405HC,Outpatient Medical Specialty Care,Diabetes
405HC,Outpatient Medical Specialty Care,Neurology
405HC,Outpatient Medical Specialty Care,
405HC,Outpatient Surgical Specialty Care , Podiatry
405HC,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405HC,Outpatient Surgical Specialty Care ,Urology
405HC,Outpatient Surgical Specialty Care ,
405HC,Primary Care ,
405HC,Rehabilitation Care & Services ,Audiology
405HC,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405HC,Rehabilitation Care & Services ,Speech Pathology
405HC,Rehabilitation Care & Services ,
405HC,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405HC,Wellness & Preventative Care,Weight Management Services/MOVE! 
405HC,Wellness & Preventative Care,
405HE,Mental Health Care ,Outpatient Mental Health Care
405HE,Mental Health Care ,Outpatient Specialized Mental Health Care 
405HE,Mental Health Care ,
405HE,Outpatient Medical Specialty Care,Neurology
405HE,Outpatient Medical Specialty Care,
405HE,Outpatient Surgical Specialty Care , Podiatry
405HE,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405HE,Outpatient Surgical Specialty Care ,Urology
405HE,Outpatient Surgical Specialty Care ,
405HE,Primary Care ,
405HE,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405HE,Rehabilitation Care & Services ,Speech Pathology
405HE,Rehabilitation Care & Services ,
405HE,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405HE,Wellness & Preventative Care,Weight Management Services/MOVE! 
405HE,Wellness & Preventative Care,
405HF,Mental Health Care ,Outpatient Mental Health Care
405HF,Mental Health Care ,Outpatient Specialized Mental Health Care 
405HF,Mental Health Care ,
405HF,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
405HF,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
405HF,Outpatient Medical Specialty Care,Diabetes
405HF,Outpatient Medical Specialty Care,Neurology
405HF,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
405HF,Outpatient Medical Specialty Care,
405HF,Outpatient Surgical Specialty Care , Podiatry
405HF,Outpatient Surgical Specialty Care ,Pain Management Clinic 
405HF,Outpatient Surgical Specialty Care ,Urology
405HF,Outpatient Surgical Specialty Care ,
405HF,Primary Care ,
405HF,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
405HF,Rehabilitation Care & Services ,
405HF,Wellness & Preventative Care,Eating Right: Diet & Nutrition
405HF,Wellness & Preventative Care,Weight Management Services/MOVE! 
405HF,Wellness & Preventative Care,
518,Audiology,
518,Dental Services ,
518,Diagnostic Services,Imaging & Radiology
518,Diagnostic Services,Lab Services
518,Diagnostic Services,
518,Extended Care ,Outpatient Geriatric Medicine
518,Extended Care ,
518,Eye (Vision) Care,Ophthalmology
518,Eye (Vision) Care,Optometry
518,Eye (Vision) Care,
518,Mental Health Care ,Outpatient Mental Health Care
518,Mental Health Care ,Outpatient Specialized Mental Health Care 
518,Mental Health Care ,Vocational Assistance (Vocational Counselling &/or
518,Mental Health Care ,
518,Outpatient Medical Specialty Care,Allergy & Immunology
518,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
518,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
518,Outpatient Medical Specialty Care,Diabetes
518,Outpatient Medical Specialty Care,Endocrinology
518,Outpatient Medical Specialty Care,Gastroenterology
518,Outpatient Medical Specialty Care,Internal Medicine
518,Outpatient Medical Specialty Care,Neurology
518,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
518,Outpatient Medical Specialty Care,Rheumatology/Arthritis
518,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
518,Outpatient Medical Specialty Care,
518,Outpatient Surgical Specialty Care , Podiatry
518,Outpatient Surgical Specialty Care ,General Surgery
518,Outpatient Surgical Specialty Care ,Gynecology
518,Outpatient Surgical Specialty Care ,Ophthalmology
518,Outpatient Surgical Specialty Care ,Pain Management Clinic 
518,Outpatient Surgical Specialty Care ,Urology
518,Outpatient Surgical Specialty Care ,Vascular Surgery
518,Outpatient Surgical Specialty Care ,
518,Primary Care ,
518,Rehabilitation Care & Services ,Audiology
518,Rehabilitation Care & Services ,Compensated Work Therapy
518,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
518,Rehabilitation Care & Services ,Poly-trauma/Traumatic Brain Injury (TBI)
518,Rehabilitation Care & Services  ,Prosthetic Services & Sensory Aids
518,Rehabilitation Care & Services ,Speech Pathology
518,Rehabilitation Care & Services ,
518,Wellness & Preventative Care,Eating Right: Diet & Nutrition
518,Wellness & Preventative Care,Weight Management Services/MOVE! 
518,Wellness & Preventative Care,
518GA,Mental Health Care ,Outpatient Mental Health Care
518GA,Mental Health Care ,
518GA,Primary Care ,
518GA,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
518GA,Rehabilitation Care & Services ,
518GA,Wellness & Preventative Care,Eating Right: Diet & Nutrition
518GA,Wellness & Preventative Care,Weight Management Services/MOVE! 
518GA,Wellness & Preventative Care,
518GB,Mental Health Care ,Outpatient Mental Health Care
518GB,Mental Health Care ,
518GB,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
518GB,Outpatient Medical Specialty Care,
518GB,Primary Care ,
518GB,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
518GB,Rehabilitation Care & Services ,
518GB,Wellness & Preventative Care,Eating Right: Diet & Nutrition
518GB,Wellness & Preventative Care,Weight Management Services/MOVE! 
518GB,Wellness & Preventative Care,
518GE,Mental Health Care ,Outpatient Mental Health Care
518GE,Mental Health Care ,
518GE,Primary Care ,
523,Audiology,
523,Dental Services ,
523,Diagnostic Services,Imaging & Radiology
523,Diagnostic Services,Lab Services
523,Diagnostic Services,Nuclear Medicine 
523,Diagnostic Services,
523,Extended Care ,Outpatient Geriatric Medicine
523,Extended Care ,
523,Eye (Vision) Care,Ophthalmology
523,Eye (Vision) Care,Optometry
523,Eye (Vision) Care,
523,Mental Health Care ,Outpatient Mental Health Care
523,Mental Health Care ,Outpatient Specialized Mental Health Care 
523,Mental Health Care ,Vocational Assistance (Vocational Counselling &/or
523,Mental Health Care ,
523,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
523,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
523,Outpatient Medical Specialty Care,Dialysis & Dialysis Support Services 
523,Outpatient Medical Specialty Care,Endocrinology
523,Outpatient Medical Specialty Care,Gastroenterology
523,Outpatient Medical Specialty Care,Hematology (Blood) Services 
523,Outpatient Medical Specialty Care,Infectious Disease
523,Outpatient Medical Specialty Care,Internal Medicine
523,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
523,Outpatient Medical Specialty Care,Neurology
523,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
523,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
523,Outpatient Medical Specialty Care,Rheumatology/Arthritis
523,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
523,Outpatient Medical Specialty Care,
523,Outpatient Surgical Specialty Care , Podiatry
523,Outpatient Surgical Specialty Care ,ENT (Ears/Nose/Throat)
523,Outpatient Surgical Specialty Care ,General Surgery
523,Outpatient Surgical Specialty Care ,Gynecology
523,Outpatient Surgical Specialty Care ,Ophthalmology
523,Outpatient Surgical Specialty Care ,Orthopedics
523,Outpatient Surgical Specialty Care ,Pain Management Clinic 
523,Outpatient Surgical Specialty Care ,Plastic Surgery
523,Outpatient Surgical Specialty Care ,Urology
523,Outpatient Surgical Specialty Care ,
523,Primary Care ,
523,Rehabilitation Care & Services ,Amputation System of Care Services
523,Rehabilitation Care & Services ,Audiology
523,Rehabilitation Care & Services ,Compensated Work Therapy
523,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
523,Rehabilitation Care & Services ,Poly-trauma/Traumatic Brain Injury (TBI)
523,Rehabilitation Care & Services  ,Prosthetic Services & Sensory Aids
523,Rehabilitation Care & Services ,Speech Pathology
523,Rehabilitation Care & Services ,
523,Wellness & Preventative Care,Eating Right: Diet & Nutrition
523,Wellness & Preventative Care,Weight Management Services/MOVE! 
523,Wellness & Preventative Care,
523A4,Diagnostic Services,Imaging & Radiology
523A4,Diagnostic Services,Lab Services
523A4,Diagnostic Services,Nuclear Medicine 
523A4,Diagnostic Services,
523A4,Extended Care ,Outpatient Geriatric Medicine
523A4,Extended Care ,
523A4,Eye (Vision) Care,Optometry
523A4,Eye (Vision) Care,
523A4,Mental Health Care ,Outpatient Mental Health Care
523A4,Mental Health Care ,
523A4,Outpatient Medical Specialty Care,Allergy & Immunology
523A4,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
523A4,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
523A4,Outpatient Medical Specialty Care,Endocrinology
523A4,Outpatient Medical Specialty Care,Gastroenterology
523A4,Outpatient Medical Specialty Care,Hematology (Blood) Services 
523A4,Outpatient Medical Specialty Care,Infectious Disease
523A4,Outpatient Medical Specialty Care,Internal Medicine
523A4,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
523A4,Outpatient Medical Specialty Care,Neurology
523A4,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
523A4,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
523A4,Outpatient Medical Specialty Care,Rheumatology/Arthritis
523A4,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
523A4,Outpatient Medical Specialty Care,
523A4,Outpatient Surgical Specialty Care , Podiatry
523A4,Outpatient Surgical Specialty Care ,Cardiac Surgery 
523A4,Outpatient Surgical Specialty Care ,ENT (Ears/Nose/Throat)
523A4,Outpatient Surgical Specialty Care ,General Surgery
523A4,Outpatient Surgical Specialty Care ,Gynecology
523A4,Outpatient Surgical Specialty Care ,Neurosurgery 
523A4,Outpatient Surgical Specialty Care ,Orthopedics
523A4,Outpatient Surgical Specialty Care ,Pain Management Clinic 
523A4,Outpatient Surgical Specialty Care ,Plastic Surgery
523A4,Outpatient Surgical Specialty Care ,Thoracic Surgery
523A4,Outpatient Surgical Specialty Care ,Urology
523A4,Outpatient Surgical Specialty Care ,Vascular Surgery
523A4,Outpatient Surgical Specialty Care ,
523A4,Primary Care ,
523A4,Rehabilitation Care & Services ,Amputation System of Care Services
523A4,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
523A4,Rehabilitation Care & Services  ,Prosthetic Services & Sensory Aids
523A4,Rehabilitation Care & Services ,Speech Pathology
523A4,Rehabilitation Care & Services ,Spinal Cord Injury
523A4,Rehabilitation Care & Services ,
523A4,Wellness & Preventative Care,Eating Right: Diet & Nutrition
523A4,Wellness & Preventative Care,Weight Management Services/MOVE! 
523A4,Wellness & Preventative Care,
523A5,Dental Services ,
523A5,Diagnostic Services,Imaging & Radiology
523A5,Diagnostic Services,Lab Services
523A5,Diagnostic Services,
523A5,Extended Care ,Outpatient Geriatric Medicine
523A5,Extended Care ,
523A5,Eye (Vision) Care,Optometry
523A5,Eye (Vision) Care,
523A5,Mental Health Care ,Outpatient Mental Health Care
523A5,Mental Health Care ,Outpatient Specialized Mental Health Care 
523A5,Mental Health Care ,Vocational Assistance (Vocational Counselling &/or
523A5,Mental Health Care ,
523A5,Outpatient Medical Specialty Care,Allergy & Immunology
523A5,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
523A5,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
523A5,Outpatient Medical Specialty Care,Endocrinology
523A5,Outpatient Medical Specialty Care,Gastroenterology
523A5,Outpatient Medical Specialty Care,Hematology (Blood) Services 
523A5,Outpatient Medical Specialty Care,Internal Medicine
523A5,Outpatient Medical Specialty Care,Neurology
523A5,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
523A5,Outpatient Medical Specialty Care,Rheumatology/Arthritis
523A5,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
523A5,Outpatient Medical Specialty Care,
523A5,Outpatient Surgical Specialty Care , Podiatry
523A5,Outpatient Surgical Specialty Care ,General Surgery
523A5,Outpatient Surgical Specialty Care ,Gynecology
523A5,Outpatient Surgical Specialty Care ,Orthopedics
523A5,Outpatient Surgical Specialty Care ,Plastic Surgery
523A5,Outpatient Surgical Specialty Care ,Urology
523A5,Outpatient Surgical Specialty Care ,
523A5,Primary Care ,
523A5,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
523A5,Rehabilitation Care & Services  ,Prosthetic Services & Sensory Aids
523A5,Rehabilitation Care & Services ,Speech Pathology
523A5,Rehabilitation Care & Services ,Spinal Cord Injury
523A5,Rehabilitation Care & Services ,
523A5,Wellness & Preventative Care,Eating Right: Diet & Nutrition
523A5,Wellness & Preventative Care,Weight Management Services/MOVE! 
523A5,Wellness & Preventative Care,
523BY,Audiology,
523BY,Diagnostic Services,Imaging & Radiology
523BY,Diagnostic Services,
523BY,Eye (Vision) Care,Optometry
523BY,Eye (Vision) Care,
523BY,Mental Health Care ,Outpatient Mental Health Care
523BY,Mental Health Care ,
523BY,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
523BY,Outpatient Medical Specialty Care,Endocrinology
523BY,Outpatient Medical Specialty Care,Internal Medicine
523BY,Outpatient Medical Specialty Care,Neurology
523BY,Outpatient Medical Specialty Care,
523BY,Outpatient Surgical Specialty Care , Podiatry
523BY,Outpatient Surgical Specialty Care ,
523BY,Primary Care ,
523BY,Rehabilitation Care & Services ,Audiology
523BY,Rehabilitation Care & Services ,Compensated Work Therapy
523BY,Rehabilitation Care & Services ,Physical Medicine & Rehabilitation
523BY,Rehabilitation Care & Services ,
523BY,Wellness & Preventative Care,Eating Right: Diet & Nutrition
523BY,Wellness & Preventative Care,Weight Management Services/MOVE! 
523BY,Wellness & Preventative Care,
523BZ,Extended Care ,Outpatient Geriatric Medicine
523BZ,Extended Care ,
523BZ,Eye (Vision) Care,Optometry
523BZ,Eye (Vision) Care,
523BZ,Mental Health Care ,Outpatient Mental Health Care
523BZ,Mental Health Care ,Outpatient Specialized Mental Health Care 
523BZ,Mental Health Care ,
523BZ,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
523BZ,Outpatient Medical Specialty Care,Rheumatology/Arthritis
523BZ,Outpatient Medical Specialty Care,
523BZ,Outpatient Surgical Specialty Care , Podiatry
523BZ,Outpatient Surgical Specialty Care ,
523BZ,Primary Care ,
523BZ,Wellness & Preventative Care,Eating Right: Diet & Nutrition
523BZ,Wellness & Preventative Care,Weight Management Services/MOVE! 
523BZ,Wellness & Preventative Care,
523GA,Mental Health Care ,Outpatient Mental Health Care
523GA,Mental Health Care ,
523GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
523GA,Outpatient Medical Specialty Care,
523GA,Primary Care ,
523GA,Wellness & Preventative Care,Eating Right: Diet & Nutrition
523GA,Wellness & Preventative Care,Weight Management Services/MOVE! 
523GA,Wellness & Preventative Care,
523GC,Primary Care ,
